MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typei_090_r0			Time:	20.018066	s	4/15/2019 3:41:17 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
10.163815	-57.90472	2.2783203
10.165641	-58.657486	2.2880859
10.165741	-57.244183	2.2978516
10.166669	-57.285641	2.3076172
10.167667	-60.32222	2.3173828
10.167899	-61.952011	2.3271484
10.169771	-60.692032	2.3369141
10.16935	-52.539356	2.3466797
10.17159	-52.433437	2.3564453
10.171041	-57.157372	2.3662109
10.172032	-59.54211	2.3759766
10.173354	-58.11657	2.3857422
10.173733	-57.13937	2.3955078
10.175022	-54.485744	2.4052734
10.176692	-49.860493	2.4150391
10.176574	-49.977837	2.4248047
10.17726	-52.708683	2.4345703
10.176981	-58.321934	2.4443359
10.179733	-59.140816	2.4541016
10.179784	-50.531364	2.4638672
10.181157	-44.847336	2.4736328
10.181614	-46.107769	2.4833984
10.183074	-51.260643	2.4931641
10.182437	-52.117371	2.5029297
10.184873	-52.018246	2.5126953
10.185521	-50.539318	2.5224609
10.18548	-45.474285	2.5322266
10.185842	-41.521595	2.5419922
10.187452	-44.739498	2.5517578
10.18794	-48.02285	2.5615234
10.188868	-54.395351	2.5712891
10.189029	-49.576416	2.5810547
10.189974	-42.023247	2.5908203
10.191356	-39.997295	2.6005859
10.191987	-40.344475	2.6103516
10.193282	-45.573025	2.6201172
10.192756	-45.801899	2.6298828
10.193664	-49.841518	2.6396484
10.195773	-41.601276	2.6494141
10.196258	-38.294544	2.6591797
10.196515	-38.693062	2.6689453
10.197029	-36.999401	2.6787109
10.198365	-47.204674	2.6884766
10.200516	-46.010757	2.6982422
10.200877	-36.33448	2.7080078
10.20033	-35.918106	2.7177734
10.201795	-33.734558	2.7275391
10.202675	-35.408829	2.7373047
10.203303	-38.345062	2.7470703
10.204984	-42.253456	2.7568359
10.205441	-40.047932	2.7666016
10.205376	-36.186214	2.7763672
10.206661	-30.578388	2.7861328
10.206565	-30.646837	2.7958984
10.2088	-35.948814	2.8056641
10.208568	-38.057598	2.8154297
10.210532	-37.506638	2.8251953
10.211028	-32.86166	2.8349609
10.21235	-30.077034	2.8447266
10.21211	-30.244267	2.8544922
10.213408	-30.671858	2.8642578
10.213676	-33.954483	2.8740234
