MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_4545_r0			Time:	20.021729	s	4/13/2019 8:16:34 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.790985	-76.748688	2.9946289
-39.788654	-77.722519	3.0043945
-39.788963	-84.974182	3.0141602
-39.788754	-80.890984	3.0239258
-39.787628	-78.352814	3.0336914
-39.785969	-74.478539	3.043457
-39.785542	-75.264061	3.0532227
-39.784336	-79.212387	3.0629883
-39.784435	-78.907631	3.0727539
-39.78447	-78.033585	3.0825195
-39.783512	-76.269562	3.0922852
-39.782276	-72.5271	3.1020508
-39.782055	-73.671036	3.1118164
-39.779285	-70.424881	3.121582
-39.778954	-76.12426	3.1313477
-39.778786	-74.037712	3.1411133
-39.777512	-75.911362	3.1508789
-39.776913	-71.071724	3.1606445
-39.775543	-67.326889	3.1704102
-39.775162	-72.545845	3.1801758
-39.774925	-70.282318	3.1899414
-39.774231	-71.327065	3.199707
-39.772072	-72.54641	3.2094727
-39.772858	-71.564812	3.2192383
-39.770199	-71.565712	3.2290039
-39.770493	-65.937492	3.2387695
-39.770134	-67.726768	3.2485352
-39.769245	-68.560295	3.2583008
-39.768269	-70.846535	3.2680664
-39.767212	-70.376526	3.277832
-39.76593	-64.30275	3.2875977
-39.765408	-65.354507	3.2973633
-39.765972	-62.745945	3.3071289
-39.763611	-63.491985	3.3168945
-39.763485	-66.471252	3.3266602
-39.761311	-67.527817	3.3364258
-39.762444	-66.739792	3.3461914
-39.760159	-61.522583	3.355957
-39.759754	-59.416565	3.3657227
-39.758125	-60.101051	3.3754883
-39.758087	-65.341995	3.3852539
-39.757465	-67.03804	3.3950195
-39.756573	-61.693245	3.4047852
-39.754784	-60.933659	3.4145508
-39.754982	-55.322609	3.4243164
-39.754398	-59.262074	3.434082
-39.752041	-58.597527	3.4438477
-39.753185	-62.053654	3.4536133
-39.750786	-64.120071	3.4633789
-39.750492	-59.096924	3.4731445
-39.749653	-54.319321	3.4829102
-39.749119	-54.538864	3.4926758
-39.748528	-55.7729	3.5024414
-39.748219	-62.16647	3.512207
-39.747021	-59.009666	3.5219727
-39.745956	-57.84	3.5317383
-39.745441	-53.552883	3.5415039
-39.744545	-50.609081	3.5512695
-39.743855	-52.261337	3.5610352
-39.743706	-52.879784	3.5708008
-39.742687	-59.44136	3.5805664
-39.742298	-54.273617	3.590332
-39.739998	-51.001648	3.6000977
-39.739109	-47.913845	3.6098633
-39.739857	-48.313152	3.6196289
-39.738388	-54.155457	3.6293945
-39.736607	-54.578026	3.6391602
-39.736332	-51.107693	3.6489258
-39.735172	-50.335625	3.6586914
-39.73473	-47.635361	3.668457
-39.733547	-47.172089	3.6782227
-39.733677	-45.985569	3.6879883
-39.731846	-51.127743	3.6977539
-39.731091	-50.747025	3.7075195
-39.730274	-46.785355	3.7172852
-39.729382	-43.869652	3.7270508
-39.72831	-43.057095	3.7368164
-39.728569	-46.076317	3.746582
-39.727108	-45.927841	3.7563477
-39.726791	-45.997791	3.7661133
-39.726437	-43.669579	3.7758789
-39.724503	-45.85294	3.7856445
-39.723778	-42.172871	3.7954102
-39.724049	-38.982742	3.8051758
-39.72208	-44.434055	3.8149414
-39.721985	-43.816158	3.824707
-39.721813	-45.06345	3.8344727
-39.720341	-41.438129	3.8442383
-39.719265	-37.972	3.8540039
-39.718899	-40.495159	3.8637695
-39.718155	-37.547287	3.8735352
-39.716816	-38.299297	3.8833008
-39.715904	-40.375103	3.8930664
-39.716053	-42.26141	3.902832
-39.71323	-40.690384	3.9125977
-39.71357	-33.481869	3.9223633
-39.711407	-33.399296	3.9321289
-39.711388	-36.060261	3.9418945
-39.711288	-38.946152	3.9516602
-39.71035	-39.327148	3.9614258
-39.710274	-34.91309	3.9711914
-39.709145	-36.172428	3.980957
-39.707073	-31.789959	3.9907227
-39.706436	-31.002531	4.0004883
-39.705791	-34.943913	4.0102539
-39.704609	-35.307518	4.0200195
-39.703861	-36.475117	4.0297852
-39.704571	-32.071831	4.0395508
-39.703339	-26.547222	4.0493164
-39.701382	-28.107809	4.059082
-39.70137	-33.04887	4.0688477
-39.701107	-34.765312	4.0786133
-39.700596	-32.346855	4.0883789
-39.699574	-32.052608	4.0981445
-39.697403	-26.626596	4.1079102
-39.69783	-26.289648	4.1176758
