MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typeiv_4545_r0			Time:	20.02002	s	4/13/2019 7:12:10 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_4545_uprint.tst
Displacement	Force	Running Time
mm	N	s
-39.863342	-2.2901855	2.2209473
-39.863056	-12.197957	2.2307129
-39.862141	-8.7904282	2.2404785
-39.861237	2.2595358	2.2502441
-39.859707	14.223469	2.2600098
-39.859222	11.399058	2.2697754
-39.858273	4.9154701	2.279541
-39.85815	-5.7247977	2.2893066
-39.856937	-6.5645189	2.2990723
-39.856228	0.19418833	2.3088379
-39.855637	10.022161	2.3186035
-39.855301	18.564785	2.3283691
-39.854172	13.496212	2.3381348
-39.852695	1.4946635	2.3479004
-39.851444	-7.5156484	2.357666
-39.851322	-2.292485	2.3674316
-39.849545	12.287539	2.3771973
-39.848331	19.718126	2.3869629
-39.848412	20.28611	2.3967285
-39.848167	7.8372231	2.4064941
-39.846825	-0.28434867	2.4162598
-39.846363	0.87076849	2.4260254
-39.844845	7.0266051	2.435791
-39.844524	21.27009	2.4455566
-39.844189	25.692934	2.4553223
-39.843098	17.900183	2.4650879
-39.840919	4.741631	2.4748535
-39.841785	-2.5737967	2.4846191
-39.840919	7.8863149	2.4943848
-39.839012	20.721272	2.5041504
-39.839924	28.122936	2.513916
-39.838249	24.653276	2.5236816
-39.836929	12.73135	2.5334473
-39.83622	4.1344004	2.5432129
-39.837139	3.7629943	2.5529785
-39.834873	17.45681	2.5627441
-39.834736	30.094154	2.5725098
-39.833775	32.311989	2.5822754
-39.832596	20.141693	2.592041
-39.832054	7.3821034	2.6018066
-39.831017	6.282105	2.6115723
-39.829575	16.731979	2.6213379
-39.829853	30.085648	2.6311035
-39.828117	32.713448	2.6408691
-39.827095	28.673527	2.6506348
-39.826824	17.600822	2.6604004
-39.825794	7.3526998	2.670166
-39.825905	15.772855	2.6799316
-39.824165	26.735634	2.6896973
-39.824154	38.485176	2.6994629
-39.823051	36.841965	2.7092285
-39.821831	21.769388	2.7189941
-39.821507	15.205134	2.7287598
-39.819595	14.356771	2.7385254
-39.818989	26.552929	2.748291
-39.818748	37.4939	2.7580566
-39.818737	36.908501	2.7678223
-39.816662	32.95113	2.7775879
-39.817265	20.513586	2.7873535
-39.815804	16.969467	2.7971191
-39.816044	21.483845	2.8068848
-39.813538	34.413227	2.8166504
-39.813538	45.080063	2.826416
-39.8125	38.381126	2.8361816
-39.81205	28.728516	2.8459473
-39.811188	20.575375	2.8557129
-39.811295	21.575865	2.8654785
-39.80883	33.981731	2.8752441
-39.808819	42.499001	2.8850098
-39.806881	46.174259	2.8947754
-39.80637	38.146156	2.904541
-39.806484	25.691566	2.9143066
-39.805511	22.061445	2.9240723
-39.803677	30.498699	2.9338379
-39.803009	44.4902	2.9436035
-39.803413	48.200886	2.9533691
-39.8004	46.115227	2.9631348
-39.80125	32.78381	2.9729004
-39.799847	27.1005	2.982666
-39.799316	30.594929	2.9924316
-39.797134	40.911572	3.0021973
-39.798328	53.669056	3.0119629
-39.796532	52.594032	3.0217285
-39.79615	43.491272	3.0314941
-39.795246	31.251856	3.0412598
-39.794525	27.173582	3.0510254
-39.792393	42.198303	3.060791
-39.792381	52.709122	3.0705566
-39.793064	57.792114	3.0803223
-39.792187	48.878815	3.0900879
-39.790909	37.782909	3.0998535
-39.788757	34.668686	3.1096191
-39.788956	35.887203	3.1193848
-39.788006	52.648567	3.1291504
-39.786762	61.26767	3.138916
-39.785721	56.729256	3.1486816
-39.78516	46.540913	3.1584473
-39.784634	33.147072	3.1682129
-39.783676	38.23666	3.1779785
-39.783321	52.006004	3.1877441
-39.78252	61.628269	3.1975098
-39.780628	62.444263	3.2072754
-39.78101	52.342098	3.217041
-39.779228	44.900978	3.2268066
-39.779533	37.955933	3.2365723
-39.778076	49.10125	3.2463379
-39.778011	61.799446	3.2561035
-39.775967	68.779808	3.2658691
-39.776218	60.539513	3.2756348
-39.775578	47.496933	3.2854004
-39.774883	41.978001	3.295166
-39.773193	49.378689	3.3049316
-39.771542	60.657867	3.3146973
-39.770981	68.83548	3.3244629
-39.770638	66.477089	3.3342285
-39.770432	58.000469	3.3439941
-39.76936	45.60463	3.3537598
-39.768784	46.586109	3.3635254
-39.76796	55.856567	3.373291
-39.767014	69.646156	3.3830566
-39.764542	73.278748	3.3928223
-39.764294	62.232319	3.4025879
-39.764359	53.835381	3.4123535
-39.764004	50.859818	3.4221191
-39.763313	58.180828	3.4318848
-39.761646	68.47332	3.4416504
-39.761459	73.819473	3.451416
-39.760105	74.154228	3.4611816
-39.759064	63.069424	3.4709473
-39.759285	53.223125	3.4807129
-39.757332	54.229691	3.4904785
-39.756832	63.941658	3.5002441
-39.755432	78.393272	3.5100098
-39.75502	75.583969	3.5197754
-39.754932	69.728989	3.529541
