MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_uprint_typeiv_4545_r0			Time:	20.022217	s	4/13/2019 6:41:55 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	Type IV_Monotonic.tst
Displacement	Force	Running Time
mm	N	s
-39.724682	57.42337	4.0004883
-39.722939	49.04422	4.0102539
-39.722164	38.914913	4.0200195
-39.722782	38.600384	4.0297852
-39.720917	45.481426	4.0395508
-39.720901	54.367741	4.0493164
-39.71899	61.344521	4.059082
-39.718822	59.040844	4.0688477
-39.719212	48.946049	4.0786133
-39.717155	41.396206	4.0883789
-39.716145	42.563835	4.0981445
-39.715324	55.968842	4.1079102
-39.715687	63.58374	4.1176758
-39.71402	65.048004	4.1274414
-39.713242	55.451172	4.137207
-39.711266	46.173985	4.1469727
-39.711315	45.123497	4.1567383
-39.709541	49.804985	4.1665039
-39.707638	61.707603	4.1762695
-39.70895	68.467102	4.1860352
-39.708496	64.265533	4.1958008
-39.707844	53.933128	4.2055664
-39.707649	44.920555	4.215332
-39.705406	50.350552	4.2250977
-39.704994	63.238434	4.2348633
-39.703495	70.21067	4.2446289
-39.702839	72.985916	4.2543945
-39.703991	60.289894	4.2641602
-39.701824	53.442184	4.2739258
-39.70182	51.306622	4.2836914
-39.698936	59.571426	4.293457
-39.699078	71.873009	4.3032227
-39.696987	78.127472	4.3129883
-39.69791	69.796867	4.3227539
-39.696476	57.762516	4.3325195
-39.697262	52.327923	4.3422852
-39.694538	59.769135	4.3520508
-39.694309	72.841896	4.3618164
-39.692432	81.64489	4.371582
-39.692226	76.350891	4.3813477
-39.690971	67.897446	4.3911133
-39.690762	58.925743	4.4008789
-39.689659	59.797981	4.4106445
-39.688824	70.653053	4.4204102
-39.687439	82.013641	4.4301758
-39.687634	84.101761	4.4399414
-39.686222	72.107216	4.449707
-39.686234	61.871624	4.4594727
-39.684509	59.841434	4.4692383
-39.684475	71.027802	4.4790039
-39.683521	82.639343	4.4887695
-39.683247	84.35318	4.4985352
-39.681416	82.261177	4.5083008
-39.682323	70.319801	4.5180664
-39.680328	63.429161	4.527832
-39.679485	69.136307	4.5375977
-39.678532	79.66349	4.5473633
-39.678715	91.602211	4.5571289
-39.678207	86.564056	4.5668945
-39.676655	76.002388	4.5766602
-39.676697	70.138077	4.5864258
-39.674946	71.508545	4.5961914
-39.673557	80.200455	4.605957
-39.672867	88.023972	4.6157227
-39.672691	91.691971	4.6254883
-39.671463	87.649361	4.6352539
-39.670227	75.295929	4.6450195
-39.669781	71.753113	4.6547852
-39.669846	76.762291	4.6645508
-39.667744	90.692482	4.6743164
-39.666958	96.957352	4.684082
-39.666508	91.24398	4.6938477
-39.665615	82.134323	4.7036133
-39.665424	77.012421	4.7133789
-39.664825	79.283119	4.7231445
-39.663704	86.35302	4.7329102
-39.663239	96.728996	4.7426758
-39.661312	99.466835	4.7524414
-39.661919	92.628723	4.762207
-39.65947	81.529785	4.7719727
-39.660053	76.532845	4.7817383
-39.659714	86.484894	4.7915039
-39.658741	97.114166	4.8012695
-39.656963	102.38885	4.8110352
-39.656029	99.485786	4.8208008
-39.655453	88.718216	4.8305664
-39.65509	85.240265	4.840332
-39.653244	84.324493	4.8500977
-39.653126	95.989578	4.8598633
-39.651291	105.01978	4.8696289
-39.651463	104.86082	4.8793945
-39.650669	97.660103	4.8891602
-39.649559	83.76606	4.8989258
-39.648815	85.938545	4.9086914
-39.648296	95.669212	4.918457
-39.646839	107.80857	4.9282227
-39.645939	113.25739	4.9379883
-39.645866	102.73147	4.9477539
-39.64455	95.126183	4.9575195
-39.642845	90.106682	4.9672852
-39.643036	91.213654	4.9770508
-39.641987	107.60722	4.9868164
-39.640503	114.47962	4.996582
-39.640533	112.34184	5.0063477
-39.639858	98.463722	5.0161133
-39.639462	89.873032	5.0258789
-39.638012	94.823296	5.0356445
-39.637161	106.4352	5.0454102
-39.636879	117.04652	5.0551758
-39.634876	115.11087	5.0649414
-39.63546	108.17293	5.074707
-39.635822	97.346252	5.0844727
-39.634373	95.088371	5.0942383
-39.633297	102.86814	5.1040039
-39.632202	115.41703	5.1137695
-39.631935	122.47872	5.1235352
-39.630508	113.71743	5.1333008
-39.628807	103.85846	5.1430664
-39.628407	96.143806	5.152832
-39.627895	105.56268	5.1625977
-39.626358	115.967	5.1723633
-39.625965	121.08385	5.1821289
-39.624584	121.49295	5.1918945
-39.625885	112.7936	5.2016602
-39.624447	104.07241	5.2114258
-39.623474	105.85086	5.2211914
-39.621883	112.96829	5.230957
-39.621235	126.82607	5.2407227
-39.620678	128.85211	5.2504883
-39.620132	117.76009	5.2602539
-39.618526	109.85464	5.2700195
-39.618145	106.22534	5.2797852
-39.615772	114.48817	5.2895508
-39.616119	122.65961	5.2993164
-39.615414	129.52829	5.309082
-39.613811	128.50464	5.3188477
-39.614059	118.72601	5.3286133
-39.613052	112.00175	5.3383789
-39.611462	109.59024	5.3481445
-39.612228	122.63164	5.3579102
-39.610138	133.02278	5.3676758
-39.609921	132.869	5.3774414
-39.609921	126.46667	5.387207
-39.607632	117.21479	5.3969727
-39.60799	114.77617	5.4067383
-39.605728	120.09586	5.4165039
-39.60574	130.37674	5.4262695
-39.604904	136.01802	5.4360352
-39.603729	135.77318	5.4458008
-39.602802	122.38669	5.4555664
-39.601559	114.28279	5.465332
-39.600967	119.1468	5.4750977
-39.600994	131.15721	5.4848633
-39.600548	140.61227	5.4946289
-39.599667	139.80754	5.5043945
-39.597755	131.00499	5.5141602
-39.596893	122.03746	5.5239258
-39.595913	119.67637	5.5336914
-39.596294	128.17535	5.543457
-39.594551	139.53122	5.5532227
-39.594345	145.84845	5.5629883
-39.593483	139.35945	5.5727539
-39.592068	124.22944	5.5825195
-39.592793	120.95251	5.5922852
-39.591957	128.03279	5.6020508
-39.590401	140.85248	5.6118164
-39.589443	148.84048	5.621582
-39.588478	144.44496	5.6313477
-39.587173	135.4166	5.6411133
-39.586384	128.10413	5.6508789
-39.586845	125.9677	5.6606445
-39.585239	139.39476	5.6704102
-39.584682	150.07198	5.6801758
-39.584538	153.44707	5.6899414
-39.582253	143.68721	5.699707
-39.58287	129.06281	5.7094727
-39.58231	128.24843	5.7192383
-39.580456	139.63823	5.7290039
-39.579643	149.42349	5.7387695
-39.579288	154.36873	5.7485352
-39.577854	148.61476	5.7583008
-39.577614	140.52422	5.7680664
-39.576015	133.08879	5.777832
-39.575092	136.65062	5.7875977
-39.575043	147.80966	5.7973633
-39.574436	158.18636	5.8071289
-39.572762	156.33636	5.8168945
-39.572124	143.33447	5.8266602
-39.572216	134.62668	5.8364258
-39.571129	138.93967	5.8461914
-39.570232	147.79105	5.855957
-39.568878	156.97659	5.8657227
-39.568821	159.33449	5.8754883
-39.567619	154.52699	5.8852539
-39.566578	146.62688	5.8950195
-39.566174	140.30238	5.9047852
-39.565475	143.83199	5.9145508
-39.562687	158.50314	5.9243164
-39.563454	166.10814	5.934082
-39.562428	160.41606	5.9438477
-39.561787	153.00377	5.9536133
-39.560997	143.28224	5.9633789
-39.560368	147.87553	5.9731445
-39.558441	155.97336	5.9829102
-39.557972	163.30789	5.9926758
-39.5574	167.32417	6.0024414
-39.557144	160.49631	6.012207
-39.555721	151.7637	6.0219727
-39.554993	146.16867	6.0317383
-39.554409	154.13261	6.0415039
-39.553349	166.7775	6.0512695
-39.552723	171.2247	6.0610352
-39.551441	167.58751	6.0708008
-39.55146	156.89252	6.0805664
-39.551716	151.71782	6.090332
-39.54932	153.63065	6.1000977
-39.549858	161.97372	6.1098633
-39.547672	173.82942	6.1196289
-39.546894	174.95906	6.1293945
-39.546909	165.82387	6.1391602
-39.54541	155.00755	6.1489258
-39.544796	151.30673	6.1586914
-39.544167	162.69702	6.168457
-39.542824	174.97417	6.1782227
-39.542229	179.41168	6.1879883
-39.54073	171.43491	6.1977539
-39.541424	162.70488	6.2075195
-39.539906	155.19807	6.2172852
-39.539177	162.52403	6.2270508
-39.53867	174.96915	6.2368164
-39.537014	181.82085	6.246582
-39.537106	181.52345	6.2563477
-39.535412	167.94864	6.2661133
-39.535492	158.64011	6.2758789
-39.534073	162.81184	6.2856445
-39.532627	173.27422	6.2954102
-39.53336	185.79816	6.3051758
-39.531776	183.80544	6.3149414
-39.530891	175.92546	6.324707
-39.531067	167.71884	6.3344727
-39.529713	162.80704	6.3442383
-39.530239	172.23024	6.3540039
-39.528358	183.5811	6.3637695
-39.526878	190.74673	6.3735352
-39.526897	184.40297	6.3833008
-39.524616	171.16995	6.3930664
-39.524292	165.87563	6.402832
-39.523792	170.7453	6.4125977
-39.523495	183.19429	6.4223633
-39.522129	190.70567	6.4321289
-39.521408	188.3333	6.4418945
-39.51931	182.33238	6.4516602
-39.519722	171.65816	6.4614258
-39.5186	171.97644	6.4711914
-39.517529	179.05388	6.480957
-39.516205	191.43579	6.4907227
-39.51659	195.89934	6.5004883
-39.515263	187.8215	6.5102539
-39.515022	177.68871	6.5200195
-39.513744	174.91292	6.5297852
-39.513184	179.56819	6.5395508
-39.511772	190.40083	6.5493164
-39.511845	196.83075	6.559082
-39.511333	194.22952	6.5688477
-39.509506	187.61177	6.5786133
-39.510139	177.81795	6.5883789
-39.508381	178.00533	6.5981445
-39.507599	190.34528	6.6079102
-39.507072	201.60451	6.6176758
-39.505394	200.04149	6.6274414
-39.505428	195.21448	6.637207
-39.504814	182.21614	6.6469727
-39.503628	181.83812	6.6567383
-39.502419	186.7901	6.6665039
-39.502258	196.87366	6.6762695
-39.500942	204.87656	6.6860352
-39.500793	201.05765	6.6958008
-39.499722	191.79073	6.7055664
-39.49818	181.22398	6.715332
-39.498642	186.11824	6.7250977
-39.497192	199.25508	6.7348633
-39.496281	207.28339	6.7446289
-39.494457	208.80695	6.7543945
-39.49485	195.56764	6.7641602
-39.49345	189.79153	6.7739258
-39.492439	189.41832	6.7836914
-39.492107	193.95291	6.793457
-39.491589	207.7274	6.8032227
-39.490311	213.77061	6.8129883
-39.488792	207.34879	6.8227539
-39.488476	195.9072	6.8325195
-39.487068	188.24509	6.8422852
-39.487297	195.09697	6.8520508
-39.486134	210.26854	6.8618164
-39.484303	216.7428	6.871582
-39.48349	212.22333	6.8813477
-39.483421	202.0416	6.8911133
-39.483662	193.67592	6.9008789
-39.481976	194.63675	6.9106445
-39.481846	207.09013	6.9204102
-39.480167	218.40338	6.9301758
-39.480255	219.94008	6.9399414
-39.478264	210.34979	6.949707
-39.479031	198.0394	6.9594727
-39.477245	195.48145	6.9692383
-39.477024	205.65401	6.9790039
-39.475651	218.53	6.9887695
-39.474987	219.60481	6.9985352
-39.474655	218.28622	7.0083008
-39.473679	207.58414	7.0180664
-39.472607	201.19168	7.027832
-39.471992	204.89729	7.0375977
-39.471191	215.32062	7.0473633
-39.469757	225.71931	7.0571289
-39.468971	223.70845	7.0668945
-39.468369	212.74974	7.0766602
-39.467419	205.37849	7.0864258
-39.465881	205.85179	7.0961914
-39.465813	216.61807	7.105957
-39.465012	224.40672	7.1157227
-39.464329	225.50824	7.1254883
-39.463882	221.87068	7.1352539
-39.462814	213.73843	7.1450195
-39.461746	207.8174	7.1547852
-39.460133	212.95782	7.1645508
-39.460255	224.08846	7.1743164
-39.459805	233.16512	7.184082
-39.457527	227.64508	7.1938477
-39.457047	218.74977	7.2036133
-39.457699	210.79704	7.2133789
-39.456638	213.04904	7.2231445
-39.453915	222.16574	7.2329102
-39.453079	231.44304	7.2426758
-39.452675	234.48439	7.2524414
-39.452606	229.69496	7.262207
-39.451828	218.05592	7.2719727
-39.451084	213.0564	7.2817383
-39.450977	221.11276	7.2915039
-39.448914	233.01997	7.3012695
-39.448551	237.85818	7.3110352
-39.447842	235.63899	7.3208008
-39.446434	223.81393	7.3305664
-39.445732	217.58374	7.340332
-39.445045	221.22562	7.3500977
-39.44611	230.16331	7.3598633
-39.442818	240.72563	7.3696289
-39.442829	241.97844	7.3793945
-39.441952	234.06427	7.3891602
-39.441525	220.90718	7.3989258
-39.441452	218.81059	7.4086914
-39.439964	229.42085	7.418457
-39.439182	243.00447	7.4282227
-39.438145	247.24731	7.4379883
-39.436878	236.52328	7.4477539
-39.43708	230.47047	7.4575195
-39.434975	223.85466	7.4672852
-39.434429	226.65181	7.4770508
-39.434269	240.28586	7.4868164
-39.432922	247.75009	7.496582
-39.43264	248.95876	7.5063477
-39.430935	236.60422	7.5161133
-39.430981	224.89288	7.5258789
-39.429779	227.71518	7.5356445
-39.430958	241.92145	7.5454102
-39.428181	251.64288	7.5551758
-39.426956	252.18866	7.5649414
-39.426453	242.25038	7.574707
-39.42622	232.19368	7.5844727
-39.424812	230.67487	7.5942383
-39.425804	239.68724	7.6040039
-39.423424	248.19722	7.6137695
-39.422421	255.41681	7.6235352
-39.421909	251.12054	7.6333008
-39.420414	239.24051	7.6430664
