MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_dimension_typeiv_090_r0			Time:	20.0271	s	4/14/2019 12:31:20 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_hd_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.694988	176.53032	4.2590332
-39.693768	177.74901	4.2687988
-39.692165	181.46803	4.2785645
-39.691311	179.96082	4.2883301
-39.691273	187.09854	4.2980957
-39.690739	184.77274	4.3078613
-39.688789	183.19736	4.317627
-39.68924	180.12988	4.3273926
-39.688919	178.58957	4.3371582
-39.686527	185.42513	4.3469238
-39.686447	191.28212	4.3566895
-39.685215	188.82098	4.3664551
-39.685028	184.54433	4.3762207
-39.683113	181.93712	4.3859863
-39.682854	184.14459	4.395752
-39.681641	185.24309	4.4055176
-39.681316	190.24236	4.4152832
-39.680004	191.09724	4.4250488
-39.68008	191.93063	4.4348145
-39.678535	187.62001	4.4445801
-39.678177	183.87164	4.4543457
-39.676456	185.94797	4.4641113
-39.677074	194.5713	4.473877
-39.675793	196.18829	4.4836426
-39.674667	191.40497	4.4934082
-39.674229	189.44624	4.5031738
-39.673145	188.28691	4.5129395
-39.6717	190.8073	4.5227051
-39.671082	193.29346	4.5324707
-39.67038	194.48067	4.5422363
-39.669182	197.9023	4.552002
-39.66856	194.09116	4.5617676
-39.668919	189.96069	4.5715332
-39.66721	192.36894	4.5812988
-39.666496	194.93167	4.5910645
-39.665688	200.66277	4.6008301
-39.665348	199.24393	4.6105957
-39.664398	195.01862	4.6203613
-39.66338	196.69431	4.630127
-39.661465	194.77011	4.6398926
-39.662003	198.4091	4.6496582
-39.661053	198.65839	4.6594238
-39.66021	200.25154	4.6691895
-39.660324	202.45886	4.6789551
-39.658722	198.41286	4.6887207
-39.656979	198.13609	4.6984863
-39.65731	199.61272	4.708252
-39.656067	200.39061	4.7180176
-39.655212	204.85094	4.7277832
-39.656143	202.84578	4.7375488
-39.6544	203.3867	4.7473145
-39.653461	201.65854	4.7570801
-39.651848	200.7113	4.7668457
-39.651615	202.32396	4.7766113
-39.649982	204.96428	4.786377
-39.650139	207.63039	4.7961426
