MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_hd_uprint_typei_090_r0			Time:	20.025879	s	4/15/2019 3:48:13 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typei_hd_090_uprint.tst
Displacement	Force	Running Time
mm	N	s
10.193976	-38.809628	2.6572266
10.194263	-35.727097	2.6669922
10.195429	-34.520111	2.6767578
10.196004	-34.987839	2.6865234
10.197999	-37.0313	2.6962891
10.19893	-39.607475	2.7060547
10.199778	-40.567795	2.7158203
10.19881	-34.125847	2.7255859
10.200272	-29.105387	2.7353516
10.201119	-31.30212	2.7451172
10.202658	-32.47438	2.7548828
10.203612	-37.315739	2.7646484
10.204044	-35.692692	2.7744141
10.204743	-31.683023	2.7841797
10.206162	-30.792597	2.7939453
10.20715	-27.458591	2.8037109
10.207123	-26.334949	2.8134766
10.207282	-31.419363	2.8232422
10.208857	-35.848469	2.8330078
10.209639	-34.105942	2.8427734
10.211191	-25.403248	2.8525391
10.211836	-24.95513	2.8623047
10.212781	-23.543236	2.8720703
10.213502	-28.371233	2.8818359
10.213754	-32.191833	2.8916016
10.213778	-28.666985	2.9013672
10.214273	-28.314405	2.9111328
10.216377	-23.266222	2.9208984
10.217769	-18.578217	2.9306641
10.217761	-22.199583	2.9404297
10.218674	-27.102959	2.9501953
10.219266	-31.080009	2.9599609
10.219948	-26.618519	2.9697266
10.220056	-20.057554	2.9794922
10.221709	-17.122295	2.9892578
10.222537	-20.872883	2.9990234
10.223986	-23.975788	3.0087891
10.223957	-25.368532	3.0185547
10.224272	-24.68866	3.0283203
10.224553	-19.900648	3.0380859
10.226555	-15.635222	3.0478516
10.228024	-12.622359	3.0576172
10.228038	-18.612051	3.0673828
10.228247	-23.904936	3.0771484
10.23045	-22.092245	3.0869141
10.231624	-15.176311	3.0966797
10.232003	-12.074059	3.1064453
10.232167	-13.463117	3.1162109
10.232304	-15.725823	3.1259766
10.233226	-16.320564	3.1357422
10.23471	-20.15732	3.1455078
10.23622	-15.006686	3.1552734
10.236531	-13.412823	3.1650391
10.236865	-6.7175827	3.1748047
10.239219	-9.0842924	3.1845703
10.238361	-15.826946	3.1943359
10.239542	-15.869885	3.2041016
10.240642	-13.36861	3.2138672
10.240756	-8.4065523	3.2236328
10.242154	-6.0739059	3.2333984
10.242789	-8.0650568	3.2431641
10.243221	-9.5439177	3.2529297
10.244443	-10.501893	3.2626953
10.244778	-13.206153	3.2724609
10.246334	-11.083232	3.2822266
10.247967	-7.0161285	3.2919922
10.246927	-1.4628619	3.3017578
10.24906	-4.3885298	3.3115234
10.250453	-7.7209725	3.3212891
10.250682	-8.9751635	3.3310547
10.251183	-7.2078123	3.3408203
10.252516	-4.0239797	3.3505859
10.252329	-3.7110591	3.3603516
10.253243	-1.1157529	3.3701172
10.25454	-0.88297302	3.3798828
10.254846	-4.771028	3.3896484
10.255806	-8.8404408	3.3994141
10.256534	-3.9915321	3.4091797
10.258096	1.2374414	3.4189453
10.258234	1.789139	3.4287109
10.260526	3.6228974	3.4384766
10.260161	-4.6560154	3.4482422
10.26074	-2.8204653	3.4580078
10.262401	-1.0818552	3.4677734
10.262773	1.0824206	3.4775391
10.264201	7.5916324	3.4873047
10.26412	6.4472342	3.4970703
10.264319	5.3918014	3.5068359
10.265674	-1.0293252	3.5166016
10.265855	-2.3546259	3.5263672
10.266644	6.1577196	3.5361328
10.26806	9.5592213	3.5458984
10.269639	10.992181	3.5556641
10.269338	6.4055476	3.5654297
10.270632	4.0160732	3.5751953
10.270978	3.5302038	3.5849609
10.272626	3.2127154	3.5947266
10.27291	11.51664	3.6044922
10.274869	14.226513	3.6142578
10.275238	12.604324	3.6240234
10.275307	7.9720068	3.6337891
10.277156	2.7727888	3.6435547
10.276304	7.2913051	3.6533203
10.277777	15.692657	3.6630859
10.279033	17.287203	3.6728516
10.279676	15.410857	3.6826172
10.28	11.163389	3.6923828
10.280848	9.041255	3.7021484
10.282122	10.372885	3.7119141
10.282802	13.881217	3.7216797
10.283876	19.122925	3.7314453
10.283944	21.363287	3.7412109
10.286043	17.065147	3.7509766
10.285854	11.480391	3.7607422
10.286582	11.703726	3.7705078
10.288215	16.610809	3.7802734
10.288471	22.007826	3.7900391
10.288429	20.753725	3.7998047
10.288959	19.982588	3.8095703
10.291553	19.158484	3.8193359
10.29124	16.083366	3.8291016
10.291989	18.925762	3.8388672
10.293647	20.851984	3.8486328
10.294209	25.982647	3.8583984
10.295125	26.924931	3.8681641
10.296732	21.549273	3.8779297
10.296812	20.603638	3.8876953
10.29771	20.50363	3.8974609
10.298024	23.121004	3.9072266
10.298864	27.340525	3.9169922
10.299897	25.699455	3.9267578
10.299603	27.152061	3.9365234
10.301331	26.050257	3.9462891
10.303097	22.231699	3.9560547
10.303075	24.057013	3.9658203
10.304113	26.808039	3.9755859
10.304226	33.030678	3.9853516
10.305612	32.171524	3.9951172
10.305748	29.766554	4.0048828
10.306683	25.355112	4.0146484
10.308143	27.428474	4.0244141
10.309947	29.808104	4.0341797
10.309357	31.482212	4.0439453
10.309584	34.868847	4.0537109
10.310562	35.788071	4.0634766
10.312194	31.123312	4.0732422
10.313539	27.171144	4.0830078
10.31479	30.67449	4.0927734
10.31386	34.898396	4.1025391
10.315005	39.992062	4.1123047
10.315536	39.912285	4.1220703
10.316399	33.292465	4.1318359
10.316643	32.333542	4.1416016
10.318776	33.260857	4.1513672
10.320733	34.296406	4.1611328
10.32025	41.330036	4.1708984
10.322	43.35268	4.1806641
10.32163	41.753056	4.1904297
10.322796	33.70118	4.2001953
10.324375	31.715639	4.2099609
10.325278	39.029095	4.2197266
10.323796	44.223385	4.2294922
10.326025	47.682846	4.2392578
10.327265	42.892345	4.2490234
10.32794	38.230278	4.2587891
10.328001	37.19664	4.2685547
10.329885	37.854374	4.2783203
10.329811	44.065998	4.2880859
10.33016	48.412479	4.2978516
10.331731	48.601921	4.3076172
10.333566	45.845181	4.3173828
10.332453	38.190105	4.3271484
10.333508	41.138386	4.3369141
10.334191	46.154228	4.3466797
10.334708	50.68354	4.3564453
10.336454	52.832146	4.3662109
10.337931	47.484406	4.3759766
