MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			0.254_solid_dimension_typeiv_4545_r0			Time:	20.017334	s	4/13/2019 8:38:08 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_4545_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.821487	-87.026054	2.6003418
-39.821083	-84.251564	2.6101074
-39.820995	-85.28611	2.619873
-39.819965	-84.108948	2.6296387
-39.819004	-82.198326	2.6394043
-39.819973	-84.142677	2.6491699
-39.818146	-85.327454	2.6589355
-39.816914	-86.939514	2.6687012
-39.81699	-82.19677	2.6784668
-39.815765	-75.929733	2.6882324
-39.81406	-80.397629	2.697998
-39.813576	-79.312828	2.7077637
-39.812935	-81.804474	2.7175293
-39.811932	-80.238335	2.7272949
-39.811047	-77.27771	2.7370605
-39.809975	-79.482124	2.7468262
-39.808308	-74.620087	2.7565918
-39.808453	-73.497452	2.7663574
-39.808067	-78.213684	2.776123
-39.807026	-78.40081	2.7858887
-39.806305	-79.30394	2.7956543
-39.804722	-73.029388	2.8054199
-39.805199	-71.926888	2.8151855
-39.803314	-70.197182	2.8249512
-39.80257	-72.073456	2.8347168
-39.802208	-73.999878	2.8444824
-39.801376	-73.448074	2.854248
-39.799831	-73.313766	2.8640137
-39.799473	-68.184776	2.8737793
-39.798862	-63.410698	2.8835449
-39.798378	-67.589577	2.8933105
-39.796848	-71.131859	2.9030762
-39.796791	-72.4842	2.9128418
-39.796185	-70.34642	2.9226074
-39.794567	-64.262825	2.932373
-39.793674	-61.885872	2.9421387
-39.7934	-65.450424	2.9519043
-39.791805	-66.763992	2.9616699
-39.792625	-67.339539	2.9714355
-39.791569	-67.51709	2.9812012
-39.790535	-62.443462	2.9909668
-39.789467	-61.648991	3.0007324
-39.787228	-58.408848	3.010498
-39.787479	-62.027668	3.0202637
-39.786602	-66.581474	3.0300293
-39.786434	-63.673325	3.0397949
-39.785622	-60.434486	3.0495605
-39.784519	-55.936707	3.0593262
-39.783989	-58.075008	3.0690918
-39.782921	-58.854305	3.0788574
-39.781879	-57.342644	3.088623
-39.781258	-62.761055	3.0983887
