MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typei_0.3302_solid_4545_monotonic_r0			Time:	20.017822	s	4/14/2019 3:06:31 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.867279	-42.47649	2.142334
-39.867172	-43.277435	2.1520996
-39.865837	-43.600487	2.1618652
-39.865017	-46.872623	2.1716309
-39.863831	-47.818459	2.1813965
-39.864849	-44.405617	2.1911621
-39.863487	-40.395027	2.2009277
-39.861717	-36.605095	2.2106934
-39.860825	-41.34449	2.220459
-39.859768	-42.906322	2.2302246
-39.858471	-42.371857	2.2399902
-39.858593	-40.580189	2.2497559
-39.857811	-37.095131	2.2595215
-39.85833	-36.994946	2.2692871
-39.856682	-35.992199	2.2790527
-39.854794	-36.572906	2.2888184
-39.854656	-41.46349	2.298584
-39.853836	-38.636658	2.3083496
-39.853226	-35.757431	2.3181152
-39.851894	-31.481222	2.3278809
-39.85136	-30.834459	2.3376465
-39.849777	-36.947697	2.3474121
-39.848812	-37.346676	2.3571777
-39.849075	-33.526993	2.3669434
-39.848942	-33.277592	2.376709
-39.847404	-30.448492	2.3864746
-39.84605	-30.554846	2.3962402
-39.844574	-27.965454	2.4060059
-39.845829	-31.040426	2.4157715
-39.843925	-32.996964	2.4255371
-39.843288	-30.488283	2.4353027
-39.842476	-29.01638	2.4450684
-39.84185	-25.519474	2.454834
-39.840153	-26.473616	2.4645996
-39.840103	-27.464558	2.4743652
-39.840012	-26.592192	2.4841309
-39.837959	-27.638458	2.4938965
-39.838089	-27.984169	2.5036621
-39.836811	-25.463039	2.5134277
-39.834934	-22.649027	2.5231934
-39.834927	-22.082323	2.532959
-39.835247	-23.484045	2.5427246
-39.833866	-28.328928	2.5524902
-39.832916	-23.376759	2.5622559
-39.83239	-20.041107	2.5720215
-39.831882	-20.598927	2.5817871
-39.830353	-18.136684	2.5915527
-39.829556	-20.276062	2.6013184
