MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.029785	s	4/15/2019 7:44:20 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.123195	-17.944979	1.8117676
10.124208	-19.847527	1.8215332
10.125927	-11.721223	1.8312988
10.125582	-9.8196373	1.8410645
10.127162	-7.6980939	1.8508301
10.127733	-9.7610178	1.8605957
10.128693	-12.711325	1.8703613
10.129506	-13.798356	1.880127
10.129896	-14.321044	1.8898926
10.13031	-8.4449863	1.8996582
10.131716	-3.054136	1.9094238
10.132599	-3.5001526	1.9191895
10.133992	-10.985671	1.9289551
10.133762	-13.032934	1.9387207
10.135879	-10.858924	1.9484863
10.135964	-2.4487278	1.958252
10.136472	-2.0719466	1.9680176
10.138456	-0.64201123	1.9777832
10.138835	-3.5258996	1.9875488
10.13908	-6.5404811	1.9973145
10.13954	-9.3875923	2.0070801
10.141426	-0.90830582	2.0168457
10.141191	1.1843214	2.0266113
10.142485	5.259234	2.036377
10.143837	2.2418978	2.0461426
10.144605	-5.2791443	2.0559082
10.145031	-5.0470271	2.0656738
10.145926	-1.512616	2.0754395
10.147043	5.6491375	2.0852051
10.147192	4.7624688	2.0949707
10.148643	5.6788926	2.1047363
10.148539	3.8613322	2.114502
10.149419	-1.4078153	2.1242676
10.150844	2.8266959	2.1340332
10.151378	5.8839469	2.1437988
10.153093	10.410013	2.1535645
10.153661	10.891006	2.1633301
10.154606	3.8241925	2.1730957
10.154896	4.4512153	2.1828613
10.155228	5.878396	2.192627
10.157685	7.7487035	2.2023926
10.157514	11.034727	2.2121582
10.158162	10.936534	2.2219238
10.158179	12.53513	2.2316895
10.159617	13.059051	2.2414551
10.160747	6.9459252	2.2512207
10.160683	7.7039413	2.2609863
10.163005	13.903018	2.270752
10.162467	17.672146	2.2805176
10.163999	15.408543	2.2902832
10.163957	14.258599	2.3000488
10.165361	14.64991	2.3098145
10.166518	12.984947	2.3195801
10.167201	14.104769	2.3293457
10.167557	17.293432	2.3391113
10.17002	21.167261	2.348877
10.17086	21.208176	2.3586426
10.169218	18.414501	2.3684082
10.172268	14.200021	2.3781738
10.17113	18.868353	2.3879395
10.173143	21.931797	2.3977051
10.173935	24.489586	2.4074707
10.174836	25.968203	2.4172363
10.175398	23.956608	2.427002
10.17639	22.043419	2.4367676
10.176259	20.296881	2.4465332
10.177959	19.999012	2.4562988
10.178618	27.074116	2.4660645
10.178674	30.577259	2.4758301
10.17986	28.540745	2.4855957
10.180632	23.326452	2.4953613
10.181313	18.730892	2.505127
10.18201	28.132677	2.5148926
10.183664	29.59584	2.5246582
10.183867	33.803177	2.5344238
10.184962	32.182777	2.5441895
10.18639	30.979099	2.5539551
10.18737	28.884981	2.5637207
10.187799	26.313868	2.5734863
10.187559	31.013477	2.583252
10.189176	37.389019	2.5930176
10.189507	37.909561	2.6027832
10.191071	35.04932	2.6125488
10.191559	29.154942	2.6223145
