MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.026123	s	4/15/2019 6:24:07 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.123605	-11.970998	1.8183594
10.124031	-15.494938	1.828125
10.124352	-17.864849	1.8378906
10.124142	-21.91016	1.8476563
10.125711	-16.218218	1.8574219
10.126928	-6.5316877	1.8671875
10.128479	-5.2695847	1.8769531
10.128009	-11.783654	1.8867188
10.129042	-15.805675	1.8964844
10.130601	-14.146117	1.90625
10.130466	-10.434885	1.9160156
10.132126	-7.3420572	1.9257813
10.132633	-4.6921296	1.9355469
10.133351	-5.9032254	1.9453125
10.13401	-8.4524126	1.9550781
10.135655	-15.059372	1.9648438
10.135565	-9.7461252	1.9746094
10.136415	-6.1881213	1.984375
10.136681	-0.57947671	1.9941406
10.137454	-1.7717541	2.0039063
10.138037	-7.5073214	2.0136719
10.139199	-7.1591868	2.0234375
10.140238	-7.0888438	2.0332031
10.141945	-3.1757355	2.0429688
10.142605	-1.9666489	2.0527344
10.142679	-0.56919241	2.0625
10.144793	2.2664747	2.0722656
10.144659	-8.0337591	2.0820313
10.146664	-4.3790226	2.0917969
10.146317	-2.269907	2.1015625
10.146364	1.7466865	2.1113281
10.14777	6.9716415	2.1210938
10.148836	1.558182	2.1308594
10.149248	1.7649456	2.140625
10.150307	0.12459047	2.1503906
10.151012	-2.1082473	2.1601563
10.15191	2.3887682	2.1699219
10.152367	4.0577703	2.1796875
10.154217	8.7889738	2.1894531
10.154194	6.2035899	2.1992188
10.155588	2.4225001	2.2089844
10.156848	1.6306901	2.21875
10.156851	4.1428308	2.2285156
10.157444	9.0944271	2.2382813
10.160116	9.3623276	2.2480469
10.159796	9.3881884	2.2578125
10.160815	7.3123188	2.2675781
10.160968	6.4611225	2.2773438
10.162031	4.3092542	2.2871094
10.162805	7.8017511	2.296875
10.163576	13.669979	2.3066406
10.165263	15.518703	2.3164063
10.164308	13.634879	2.3261719
10.165086	9.1213655	2.3359375
10.166311	8.2367477	2.3457031
10.167676	13.48568	2.3554688
10.168003	13.902303	2.3652344
10.169836	19.057795	2.375
10.170424	17.362247	2.3847656
10.171144	14.728105	2.3945313
10.171517	14.262835	2.4042969
10.172873	10.041124	2.4140625
10.172829	19.917252	2.4238281
10.173847	23.877327	2.4335938
10.175585	22.730816	2.4433594
10.175552	19.176039	2.453125
10.176196	12.597902	2.4628906
10.177312	18.783644	2.4726563
10.177876	21.00194	2.4824219
10.178835	25.618515	2.4921875
10.179617	26.932775	2.5019531
10.181711	22.811863	2.5117188
10.180929	21.268066	2.5214844
10.182541	16.598608	2.53125
10.183034	22.23008	2.5410156
10.183267	28.560474	2.5507813
10.184066	30.714281	2.5605469
10.185514	28.484425	2.5703125
10.186418	23.33522	2.5800781
10.187757	22.545933	2.5898438
10.187192	26.060759	2.5996094
10.188757	29.536139	2.609375
10.189482	31.332121	2.6191406
