MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			typeiv_0.3302_solid_090_monotonic_r0			Time:	20.021729	s	4/14/2019 3:34:30 AM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	monotonic_0.2540_typeiv_solid_090_dimension.tst
Displacement	Force	Running Time
mm	N	s
-39.783699	28.240433	3.161377
-39.782631	28.644878	3.1711426
-39.781193	27.999514	3.1809082
-39.781025	32.907547	3.1906738
-39.780209	38.625984	3.2004395
-39.779305	37.324051	3.2102051
-39.778679	30.676996	3.2199707
-39.778049	29.197678	3.2297363
-39.77697	32.591873	3.239502
-39.774811	36.138409	3.2492676
-39.775654	39.616718	3.2590332
-39.774952	38.42186	3.2687988
-39.77314	36.81274	3.2785645
-39.771912	34.777702	3.2883301
-39.771374	33.370712	3.2980957
-39.771481	37.189232	3.3078613
-39.771282	41.727299	3.317627
-39.769806	44.979229	3.3273926
-39.768509	39.761078	3.3371582
-39.767509	34.591869	3.3469238
-39.767593	38.178688	3.3566895
-39.766556	38.129227	3.3664551
-39.765583	42.629223	3.3762207
-39.764717	44.79668	3.3859863
-39.763336	44.777519	3.395752
-39.763309	43.360703	3.4055176
-39.761955	37.070702	3.4152832
-39.762047	41.703365	3.4250488
-39.760456	44.669991	3.4348145
-39.759262	48.138142	3.4445801
-39.758488	47.370384	3.4543457
-39.758106	42.169346	3.4641113
-39.7579	42.532841	3.473877
-39.756226	46.835701	3.4836426
-39.755161	45.331284	3.4934082
-39.755028	47.480408	3.5031738
-39.753643	49.936039	3.5129395
-39.752037	48.606491	3.5227051
-39.751907	47.244427	3.5324707
-39.751839	45.031578	3.5422363
-39.751152	48.894207	3.552002
-39.750443	52.043785	3.5617676
-39.747772	54.082653	3.5715332
-39.747589	50.978306	3.5812988
-39.748211	49.972897	3.5910645
-39.746674	50.493153	3.6008301
-39.745853	51.118774	3.6105957
-39.745438	50.309353	3.6203613
-39.746231	52.845318	3.630127
-39.743389	56.946323	3.6398926
-39.742954	55.63929	3.6496582
-39.741867	53.024055	3.6594238
-39.740582	49.705189	3.6691895
-39.738842	54.631153	3.6789551
-39.739304	58.315891	3.6887207
-39.73922	56.327209	3.6984863
-39.739033	58.67313	3.708252
-39.738243	57.170765	3.7180176
-39.736782	57.751732	3.7277832
-39.734928	55.953159	3.7375488
-39.735317	56.462578	3.7473145
-39.733757	63.000187	3.7570801
-39.732864	62.8978	3.7668457
-39.732231	61.404831	3.7766113
-39.731464	57.505569	3.786377
-39.729801	57.455189	3.7961426
-39.729198	61.600739	3.8059082
-39.72937	61.842175	3.8156738
-39.728096	65.558075	3.8254395
-39.727528	66.082268	3.8352051
-39.72702	63.097603	3.8449707
-39.725994	61.155773	3.8547363
-39.724586	58.402447	3.864502
-39.724361	65.266846	3.8742676
-39.723206	71.152229	3.8840332
-39.721729	70.080139	3.8937988
-39.721714	64.583786	3.9035645
-39.7202	61.300953	3.9133301
-39.720093	62.765919	3.9230957
-39.719116	68.450233	3.9328613
-39.718414	69.609474	3.942627
-39.716965	72.282043	3.9523926
-39.716305	70.622192	3.9621582
-39.715515	67.806892	3.9719238
-39.715191	64.746559	3.9816895
-39.713867	67.236244	3.9914551
-39.714153	73.886322	4.0012207
-39.712887	76.157524	4.0109863
-39.711849	72.351479	4.020752
-39.710873	69.984474	4.0305176
-39.709713	69.04409	4.0402832
-39.70887	71.246613	4.0500488
-39.709213	73.963013	4.0598145
-39.707638	76.367195	4.0695801
-39.706837	78.301285	4.0793457
-39.706924	76.782425	4.0891113
-39.70607	71.3778	4.098877
-39.704121	73.775124	4.1086426
-39.703487	75.628761	4.1184082
-39.703384	80.094162	4.1281738
-39.702328	80.490097	4.1379395
-39.700886	75.726402	4.1477051
-39.700462	76.87706	4.1574707
-39.699261	76.544853	4.1672363
-39.698837	78.47287	4.177002
-39.698578	79.612885	4.1867676
-39.698399	82.564186	4.1965332
-39.695732	84.66214	4.2062988
-39.695709	78.667816	4.2160645
-39.694908	78.587349	4.2258301
-39.693893	78.934624	4.2355957
-39.693928	81.86219	4.2453613
-39.691284	85.674759	4.255127
-39.692043	83.743576	4.2648926
-39.690113	83.334595	4.2746582
-39.68932	84.848518	4.2844238
-39.689373	81.873383	4.2941895
-39.688343	84.630882	4.3039551
-39.687077	84.760071	4.3137207
-39.686852	89.227203	4.3234863
-39.686268	91.085503	4.333252
-39.684036	86.656593	4.3430176
-39.683937	83.973289	4.3527832
-39.682598	86.566467	4.3625488
-39.683243	88.439262	4.3723145
-39.682274	89.102783	4.3820801
-39.681995	91.096527	4.3918457
-39.679825	90.655937	4.4016113
-39.679703	89.510643	4.411377
-39.678497	87.368065	4.4211426
-39.677776	87.759293	4.4309082
-39.67717	93.215553	4.4406738
-39.675888	96.245613	4.4504395
-39.675816	95.491867	4.4602051
-39.674747	91.401665	4.4699707
-39.674221	89.506691	4.4797363
-39.672379	91.812782	4.489502
-39.672588	93.599731	4.4992676
-39.670521	99.040802	4.5090332
-39.670162	98.115776	4.5187988
-39.670109	97.209755	4.5285645
-39.669155	94.288315	4.5383301
-39.667034	90.272675	4.5480957
-39.666973	97.946198	4.5578613
-39.666363	102.31226	4.567627
-39.664158	103.82233	4.5773926
-39.664196	99.056435	4.5871582
-39.664406	94.980736	4.5969238
-39.662834	96.926437	4.6066895
-39.662312	98.958237	4.6164551
-39.662106	101.42922	4.6262207
-39.661171	105.50348	4.6359863
-39.659111	104.98199	4.645752
-39.659039	102.41479	4.6555176
-39.65871	95.77359	4.6652832
-39.658329	99.327759	4.6750488
-39.657421	104.83971	4.6848145
-39.655434	108.27305	4.6945801
-39.655308	105.81464	4.7043457
-39.65469	101.78439	4.7141113
-39.654015	101.77792	4.723877
-39.652203	103.94692	4.7336426
-39.649662	106.63023	4.7434082
-39.651245	106.70567	4.7531738
-39.64986	110.79733	4.7629395
-39.647652	109.58999	4.7727051
-39.647747	104.28466	4.7824707
-39.647949	105.8961	4.7922363
-39.647358	106.288	4.802002
-39.646351	112.27507	4.8117676
-39.645546	110.37477	4.8215332
-39.643497	110.02954	4.8312988
-39.64307	110.37114	4.8410645
-39.642994	108.701	4.8508301
-39.642693	108.94261	4.8605957
-39.641777	109.90626	4.8703613
-39.640255	113.00391	4.880127
-39.639042	116.06049	4.8898926
-39.638897	112.66629	4.8996582
-39.638695	110.59424	4.9094238
-39.637531	112.0519	4.9191895
-39.636505	112.22017	4.9289551
-39.635509	116.60561	4.9387207
-39.634262	115.97588	4.9484863
-39.633568	117.64358	4.958252
-39.633568	116.79269	4.9680176
-39.631546	114.71655	4.9777832
-39.630917	113.42867	4.9875488
-39.631191	115.84445	4.9973145
-39.630116	121.48748	5.0070801
-39.628403	122.96413	5.0168457
-39.627747	120.17574	5.0266113
-39.626984	118.03924	5.036377
-39.626347	117.10345	5.0461426
-39.625103	118.0913	5.0559082
-39.624676	121.67899	5.0656738
-39.624184	123.41808	5.0754395
-39.623318	126.20746	5.0852051
-39.622078	122.63773	5.0949707
-39.622505	119.81513	5.1047363
-39.619701	117.96564	5.114502
-39.620174	123.233	5.1242676
-39.61998	127.7739	5.1340332
-39.618172	129.96083	5.1437988
-39.617756	122.47162	5.1535645
-39.61631	122.21723	5.1633301
-39.615784	121.8755	5.1730957
-39.616341	122.92525	5.1828613
-39.614254	130.7421	5.192627
-39.613853	129.65475	5.2023926
-39.612934	131.31009	5.2121582
-39.610882	126.46478	5.2219238
-39.612057	121.97753	5.2316895
-39.609936	127.91576	5.2414551
-39.609806	131.51477	5.2512207
-39.60828	134.03471	5.2609863
-39.608471	132.12677	5.270752
-39.606781	127.03222	5.2805176
-39.606297	129.68713	5.2902832
-39.605907	128.94443	5.3000488
-39.604961	133.2309	5.3098145
-39.604427	134.76178	5.3195801
-39.602505	136.37103	5.3293457
-39.601837	134.7906	5.3391113
-39.600441	129.46645	5.348877
-39.600365	130.77325	5.3586426
-39.599838	136.54874	5.3684082
-39.598953	138.54697	5.3781738
-39.597153	137.51477	5.3879395
-39.597881	136.45116	5.3977051
-39.596817	134.79611	5.4074707
-39.595203	134.53635	5.4172363
-39.595253	136.26144	5.427002
-39.594269	138.17113	5.4367676
-39.593266	142.19379	5.4465332
-39.591881	141.57298	5.4562988
-39.591297	138.05296	5.4660645
-39.59021	136.94299	5.4758301
-39.590408	138.01784	5.4855957
-39.589455	142.01732	5.4953613
-39.587345	142.13736	5.505127
-39.588253	142.40173	5.5148926
-39.586388	142.16597	5.5246582
-39.586647	142.24409	5.5344238
-39.58511	141.09561	5.5441895
-39.583508	139.03168	5.5539551
-39.582657	143.66003	5.5637207
-39.581364	149.31004	5.5734863
-39.583061	144.75975	5.583252
-39.580982	146.75456	5.5930176
-39.580833	142.88829	5.6027832
-39.579918	144.95401	5.6125488
-39.578091	147.98717	5.6223145
-39.57719	145.43857	5.6320801
-39.577068	150.293	5.6418457
-39.576084	150.33003	5.6516113
-39.574692	147.56079	5.661377
-39.574818	145.53641	5.6711426
-39.573875	146.70183	5.6809082
-39.572868	151.99532	5.6906738
-39.571762	152.25826	5.7004395
-39.571972	152.38783	5.7102051
-39.570656	150.55693	5.7199707
-39.568325	148.18983	5.7297363
-39.569492	151.54491	5.739502
-39.568031	149.92719	5.7492676
-39.56662	155.02676	5.7590332
-39.566505	158.82176	5.7687988
-39.565018	154.55185	5.7785645
-39.563839	149.46886	5.7883301
-39.563633	150.27855	5.7980957
-39.56332	153.8674	5.8078613
-39.562889	158.97408	5.817627
-39.561104	161.31738	5.8273926
-39.561348	155.95152	5.8371582
-39.560112	156.09825	5.8469238
-39.558235	154.2755	5.8566895
-39.556843	154.79868	5.8664551
-39.558334	159.50797	5.8762207
-39.557163	161.52977	5.8859863
-39.555553	163.80055	5.895752
-39.555782	159.19836	5.9055176
-39.553715	154.44498	5.9152832
-39.553097	158.14565	5.9250488
-39.55254	161.2332	5.9348145
-39.551586	166.9756	5.9445801
-39.550827	163.021	5.9543457
-39.5499	161.38074	5.9641113
-39.548424	161.48004	5.973877
-39.549114	159.02557	5.9836426
-39.548061	162.9726	5.9934082
-39.546268	165.51791	6.0031738
-39.546268	170.168	6.0129395
-39.545124	168.11011	6.0227051
-39.543663	159.50069	6.0324707
-39.542751	162.25974	6.0422363
-39.542416	166.21011	6.052002
-39.541943	168.87625	6.0617676
-39.541485	169.39284	6.0715332
-39.540825	166.23563	6.0812988
-39.539558	168.08022	6.0910645
-39.538986	166.36769	6.1008301
-39.537689	165.62454	6.1105957
-39.537621	169.61426	6.1203613
-39.536594	172.31075	6.130127
-39.535622	173.8167	6.1398926
-39.534824	170.51163	6.1496582
-39.533417	167.76465	6.1594238
-39.532314	168.82623	6.1691895
-39.533401	170.94186	6.1789551
-39.531223	173.49608	6.1887207
-39.531391	173.41711	6.1984863
-39.531033	173.84827	6.208252
-39.528919	174.09677	6.2180176
-39.528496	170.70042	6.2277832
-39.527874	168.68765	6.2375488
-39.526459	174.04707	6.2473145
-39.52589	176.343	6.2570801
-39.525688	177.73351	6.2668457
-39.524052	177.77704	6.2766113
-39.523937	173.48138	6.286377
-39.523594	174.36508	6.2961426
-39.521431	177.13834	6.3059082
-39.520931	176.78894	6.3156738
-39.52042	180.99596	6.3254395
-39.518841	181.97855	6.3352051
-39.518837	178.85056	6.3449707
-39.516998	175.12726	6.3547363
-39.518135	176.08281	6.364502
-39.516891	182.72925	6.3742676
-39.515972	183.13214	6.3840332
-39.514732	185.14612	6.3937988
-39.513546	181.80484	6.4035645
-39.512119	180.63797	6.4133301
-39.512371	181.44325	6.4230957
-39.511116	180.22536	6.4328613
-39.511421	186.68289	6.442627
-39.508663	190.02367	6.4523926
-39.508698	188.53847	6.4621582
-39.508045	182.56122	6.4719238
-39.507729	179.94519	6.4816895
-39.505775	183.97003	6.4914551
-39.504772	190.35799	6.5012207
-39.504761	188.95937	6.5109863
-39.503914	190.03827	6.520752
-39.502735	186.53888	6.5305176
-39.501564	185.56018	6.5402832
-39.502476	185.10551	6.5500488
-39.501244	188.00481	6.5598145
-39.499439	192.89474	6.5695801
-39.499329	194.80449	6.5793457
-39.498154	190.67754	6.5891113
-39.496861	186.31386	6.598877
-39.497311	186.44122	6.6086426
-39.496243	191.31657	6.6184082
-39.494667	197.35202	6.6281738
-39.494186	195.67853	6.6379395
-39.491924	195.99361	6.6477051
-39.492447	191.91188	6.6574707
-39.492214	190.06467	6.6672363
-39.489815	193.28174	6.677002
-39.489677	195.55276	6.6867676
-39.489925	201.57854	6.6965332
-39.488762	198.5414	6.7062988
-39.487934	193.96915	6.7160645
-39.486618	192.67514	6.7258301
-39.486309	195.0699	6.7355957
-39.484524	197.26602	6.7453613
-39.483261	200.27258	6.755127
-39.482964	199.26059	6.7648926
-39.483452	203.12836	6.7746582
-39.48143	197.14397	6.7844238
-39.481735	196.6496	6.7941895
-39.480812	198.1357	6.8039551
-39.479305	201.94917	6.8137207
-39.479767	206.12938	6.8234863
-39.477058	200.97006	6.833252
-39.475967	199.61288	6.8430176
-39.475658	201.33711	6.8527832
-39.47636	200.82883	6.8625488
-39.474968	204.00291	6.8723145
-39.47356	204.74722	6.8820801
-39.473484	204.65094	6.8918457
-39.472183	205.49745	6.9016113
-39.471264	201.95917	6.911377
-39.471462	200.70004	6.9211426
-39.469967	203.2702	6.9309082
-39.467934	207.6192	6.9406738
-39.468353	207.36928	6.9504395
-39.467125	208.19621	6.9602051
-39.466534	205.64461	6.9699707
-39.464825	205.49913	6.9797363
-39.464005	204.48819	6.989502
-39.46373	207.13696	6.9992676
-39.463043	210.98685	7.0090332
-39.462784	214.39569	7.0187988
-39.462013	212.12129	7.0285645
-39.460148	206.81802	7.0383301
-39.458778	206.44287	7.0480957
-39.458748	212.08673	7.0578613
-39.457836	212.8188	7.067627
-39.458099	215.17104	7.0773926
-39.45676	213.38217	7.0871582
-39.455338	211.1355	7.0969238
-39.45549	212.07814	7.1066895
-39.45359	208.57314	7.1164551
-39.453964	215.85622	7.1262207
-39.451015	219.56013	7.1359863
-39.451134	218.51704	7.145752
-39.451122	215.5032	7.1555176
-39.449955	210.49216	7.1652832
-39.448353	214.313	7.1750488
-39.448997	217.92078	7.1848145
-39.44759	219.46889	7.1945801
-39.446957	220.12759	7.2043457
-39.446205	218.56992	7.2141113
-39.445133	216.79382	7.223877
-39.443748	213.16156	7.2336426
-39.443272	217.80917	7.2434082
-39.442745	223.37837	7.2531738
-39.44157	224.03056	7.2629395
-39.440983	222.77121	7.2727051
-39.439934	216.93515	7.2824707
-39.44009	217.73656	7.2922363
-39.438438	222.67137	7.302002
-39.437092	224.67581	7.3117676
-39.437164	223.52135	7.3215332
-39.436035	225.33879	7.3312988
-39.435322	224.00998	7.3410645
-39.43483	220.87027	7.3508301
-39.433868	223.29153	7.3605957
-39.433167	223.31952	7.3703613
-39.432133	228.99911	7.380127
-39.431984	226.93794	7.3898926
-39.430504	224.15193	7.3996582
-39.429836	224.58058	7.4094238
-39.429138	224.84048	7.4191895
-39.42765	225.78944	7.4289551
-39.428226	229.53381	7.4387207
-39.426243	228.89027	7.4484863
-39.426281	230.95612	7.458252
-39.424637	229.63937	7.4680176
-39.424053	227.70564	7.4777832
-39.422924	226.87126	7.4875488
-39.422264	231.78903	7.4973145
-39.421661	236.64717	7.5070801
-39.419651	231.58218	7.5168457
-39.420547	230.75423	7.5266113
-39.41835	229.91014	7.536377
-39.418358	229.89453	7.5461426
-39.416592	230.77692	7.5559082
-39.414841	231.5945	7.5656738
-39.415577	236.65341	7.5754395
-39.41502	238.79211	7.5852051
-39.414917	233.23061	7.5949707
-39.412788	231.73016	7.6047363
-39.412312	232.71211	7.614502
-39.4105	236.73567	7.6242676
-39.41095	238.81227	7.6340332
-39.410526	239.47188	7.6437988
