MTS793|BTW|ENU|1|2|.|/|:|1|0|0|A

Data Header:			arielle_monotonic_typei_general			Time:	20.02002	s	4/15/2019 7:20:11 PM
Data Acquisition:	Timed
Station Name:	ft40.cfg
Test File Name:	arielle_monotonic_typei_general.tst
Displacement	Force	Running Time
mm	N	s
10.17734	22.392466	2.456543
10.178812	20.80423	2.4663086
10.179519	17.901548	2.4760742
10.180811	18.269226	2.4858398
10.180159	16.337461	2.4956055
10.180649	19.909479	2.5053711
10.182526	24.484121	2.5151367
10.183279	26.395004	2.5249023
10.184552	25.523726	2.534668
10.18473	18.120367	2.5444336
10.186659	18.154861	2.5541992
10.186126	22.710724	2.5639648
10.188187	26.637871	2.5737305
10.188127	28.017996	2.5834961
10.189004	25.510811	2.5932617
10.190494	25.399248	2.6030273
10.191203	24.294071	2.612793
10.192349	23.970545	2.6225586
10.192103	27.44702	2.6323242
10.192914	30.944635	2.6420898
10.194168	32.288906	2.6518555
10.194416	29.848616	2.6616211
10.195705	26.634592	2.6713867
10.196923	28.712812	2.6811523
10.196632	30.045012	2.690918
10.197783	31.729389	2.7006836
10.198495	34.442993	2.7104492
10.199787	33.457001	2.7202148
10.201125	33.027828	2.7299805
10.200854	29.314747	2.7397461
10.201782	29.668362	2.7495117
10.202303	34.919506	2.7592773
10.204008	38.522064	2.769043
10.205218	37.385281	2.7788086
10.205028	36.48436	2.7885742
10.205317	33.138672	2.7983398
10.206947	33.497936	2.8081055
10.20793	35.648197	2.8178711
10.208914	36.489029	2.8276367
10.209672	39.018673	2.8374023
10.210614	41.531101	2.847168
10.211767	37.579636	2.8569336
10.212034	33.268444	2.8666992
10.212174	34.904858	2.8764648
10.212855	42.317802	2.8862305
10.213846	43.053669	2.8959961
10.214397	44.144089	2.9057617
10.216052	40.079689	2.9155273
10.216314	38.216564	2.925293
10.217385	41.382393	2.9350586
10.217814	38.316277	2.9448242
10.218372	46.950157	2.9545898
10.219815	49.710052	2.9643555
10.220553	48.281883	2.9741211
10.222096	43.862488	2.9838867
10.222922	40.053604	2.9936523
10.222994	45.468185	3.003418
10.224611	51.774155	3.0131836
10.225153	51.112286	3.0229492
10.225038	50.818977	3.0327148
10.226374	46.196285	3.0424805
10.228305	46.15387	3.0522461
10.228254	43.21209	3.0620117
10.22973	48.262836	3.0717773
10.229261	54.767338	3.081543
10.23002	55.792652	3.0913086
10.231236	52.030098	3.1010742
